GEOID,coordinates
371190019142,"[[[-80.756568, 35.176142], [-80.756896, 35.171609], [-80.755584, 35.167498], [-80.755528, 35.167323], [-80.755256, 35.166632], [-80.754897, 35.165909], [-80.753216, 35.163341], [-80.753608, 35.163126], [-80.754964, 35.162002], [-80.761157, 35.167153], [-80.763882, 35.169564], [-80.764992, 35.173444], [-80.769655, 35.177386], [-80.762637, 35.183607], [-80.76134, 35.184145], [-80.758806, 35.182307], [-80.757146, 35.179531], [-80.756568, 35.176142]]]"
371190019151,"[[[-80.756568, 35.176142], [-80.749314, 35.175774], [-80.745369, 35.171301], [-80.744416, 35.170034], [-80.747203, 35.171704], [-80.749667, 35.169149], [-80.755256, 35.166632], [-80.755528, 35.167323], [-80.755584, 35.167498], [-80.756896, 35.171609], [-80.756568, 35.176142]]]"
371190019152,"[[[-80.74968, 35.157478], [-80.750907, 35.158898], [-80.754964, 35.162002], [-80.753608, 35.163126], [-80.753216, 35.163341], [-80.754897, 35.165909], [-80.755256, 35.166632], [-80.749667, 35.169149], [-80.747203, 35.171704], [-80.744416, 35.170034], [-80.742526, 35.166944], [-80.740501, 35.16372], [-80.739407, 35.162614], [-80.741038, 35.161855], [-80.746476, 35.161217], [-80.747319, 35.159032], [-80.749406, 35.157559], [-80.74968, 35.157478]]]"
371190019153,"[[[-80.738703, 35.156212], [-80.745379, 35.158816], [-80.746476, 35.161217], [-80.741038, 35.161855], [-80.739407, 35.162614], [-80.736366, 35.159765], [-80.738703, 35.156212]]]"
371190019162,"[[[-80.720844, 35.199593], [-80.723083, 35.201185], [-80.723972, 35.203104], [-80.713213, 35.206896], [-80.704096, 35.209409], [-80.703659, 35.206001], [-80.704493, 35.203639], [-80.704164, 35.195644], [-80.704926, 35.19324], [-80.70508, 35.192768], [-80.70523, 35.19267], [-80.708132, 35.194662], [-80.713535, 35.196333], [-80.717544, 35.198046], [-80.718288, 35.198335], [-80.720844, 35.199593]]]"
371190019181,"[[[-80.762606, 35.190594], [-80.766327, 35.194732], [-80.769855, 35.198565], [-80.760584, 35.201723], [-80.761621, 35.197829], [-80.758248, 35.19363], [-80.759191, 35.193296], [-80.759472, 35.193082], [-80.762606, 35.190594]]]"
371190019191,"[[[-80.756477, 35.183762], [-80.762606, 35.190594], [-80.759472, 35.193082], [-80.757601, 35.190597], [-80.754426, 35.189935], [-80.754296, 35.188404], [-80.749034, 35.188038], [-80.746947, 35.185826], [-80.751115, 35.183787], [-80.756477, 35.183762]]]"
371190019203,"[[[-80.73574, 35.187219], [-80.729972, 35.185905], [-80.730574, 35.184317], [-80.73521, 35.1781], [-80.735373, 35.17823], [-80.735572, 35.178571], [-80.735694, 35.17872], [-80.735796, 35.178753], [-80.737859, 35.179019], [-80.738981, 35.184392], [-80.735458, 35.184269], [-80.736545, 35.186707], [-80.736144, 35.187018], [-80.73574, 35.187219]]]"
371190019231,"[[[-80.713213, 35.206896], [-80.723972, 35.203104], [-80.72528, 35.202681], [-80.725949, 35.202503], [-80.726044, 35.208118], [-80.726053, 35.211788], [-80.722781, 35.216056], [-80.723085, 35.219443], [-80.721646, 35.219587], [-80.717784, 35.218185], [-80.718236, 35.217286], [-80.713977, 35.215943], [-80.71435, 35.21422], [-80.718383, 35.214121], [-80.71963, 35.21196], [-80.713609, 35.212212], [-80.713213, 35.206896]]]"
371190020023,"[[[-80.798232, 35.175937], [-80.795943, 35.170017], [-80.794368, 35.165841], [-80.792862, 35.164437], [-80.796598, 35.160987], [-80.799658, 35.159872], [-80.803807, 35.16691], [-80.804687, 35.168319], [-80.808235, 35.171247], [-80.800604, 35.175256], [-80.798232, 35.175937]]]"
371190020033,"[[[-80.776254, 35.163649], [-80.770384, 35.160355], [-80.769418, 35.161123], [-80.767032, 35.158188], [-80.762543, 35.153279], [-80.765576, 35.149857], [-80.768, 35.149409], [-80.770123, 35.151665], [-80.772912, 35.156341], [-80.77551, 35.155725], [-80.776789, 35.159022], [-80.779175, 35.161253], [-80.776254, 35.163649]]]"
371190020042,"[[[-80.783735, 35.137823], [-80.784907, 35.140559], [-80.785445, 35.141731], [-80.785759, 35.14225], [-80.782536, 35.145792], [-80.782928, 35.149832], [-80.778292, 35.153747], [-80.774833, 35.15413], [-80.774505, 35.153419], [-80.774105, 35.152773], [-80.772535, 35.148346], [-80.771693, 35.1441], [-80.775078, 35.14356], [-80.775508, 35.140683], [-80.780617, 35.138162], [-80.783735, 35.137823]]]"
371190022001,"[[[-80.805235, 35.181358], [-80.809149, 35.186132], [-80.810874, 35.190623], [-80.807097, 35.190365], [-80.801596, 35.191037], [-80.800989, 35.189383], [-80.793677, 35.191093], [-80.793794, 35.190465], [-80.793423, 35.189366], [-80.797512, 35.184928], [-80.802858, 35.181657], [-80.805235, 35.181358]]]"
371190023002,"[[[-80.790598, 35.194289], [-80.793677, 35.191093], [-80.800989, 35.189383], [-80.801596, 35.191037], [-80.807097, 35.190365], [-80.810874, 35.190623], [-80.810586, 35.196079], [-80.811155, 35.198392], [-80.810345, 35.197251], [-80.807695, 35.198454], [-80.80454, 35.202559], [-80.807251, 35.204322], [-80.801118, 35.200954], [-80.796511, 35.196798], [-80.793092, 35.195372], [-80.790598, 35.194289]]]"
371190025001,"[[[-80.818494, 35.22131], [-80.816644, 35.220928], [-80.815557, 35.217862], [-80.815093, 35.215543], [-80.817883, 35.212226], [-80.82131, 35.211435], [-80.824608, 35.210786], [-80.824728, 35.210885], [-80.82649, 35.212167], [-80.824264, 35.214007], [-80.822099, 35.215779], [-80.819108, 35.218562], [-80.818494, 35.22131]]]"
371190027011,"[[[-80.829637, 35.190575], [-80.836531, 35.194831], [-80.832441, 35.196663], [-80.831612, 35.200611], [-80.827216, 35.195922], [-80.828628, 35.19264], [-80.829637, 35.190575]]]"
371190027023,"[[[-80.841182, 35.170966], [-80.840134, 35.174042], [-80.837806, 35.176326], [-80.836974, 35.179377], [-80.836478, 35.18119], [-80.832775, 35.182217], [-80.82925, 35.180205], [-80.829232, 35.180055], [-80.829193, 35.1799], [-80.831802, 35.17858], [-80.831088, 35.175435], [-80.833082, 35.173931], [-80.833949, 35.17275], [-80.838317, 35.172477], [-80.837485, 35.16994], [-80.837956, 35.168172], [-80.841742, 35.16882], [-80.841182, 35.170966]]]"
371190029031,"[[[-80.813416, 35.165403], [-80.808235, 35.171247], [-80.804687, 35.168319], [-80.803807, 35.16691], [-80.799658, 35.159872], [-80.800279, 35.157916], [-80.803289, 35.156852], [-80.806795, 35.156602], [-80.809405, 35.154], [-80.811611, 35.159963], [-80.812302, 35.16238], [-80.813416, 35.165403]]]"
371190029052,"[[[-80.833082, 35.173931], [-80.831088, 35.175435], [-80.831802, 35.17858], [-80.829193, 35.1799], [-80.827598, 35.175973], [-80.825343, 35.17391], [-80.823226, 35.17226], [-80.822473, 35.168205], [-80.821384, 35.166078], [-80.821081, 35.160533], [-80.82103, 35.159746], [-80.821034, 35.159424], [-80.824527, 35.154896], [-80.827647, 35.15809], [-80.827701, 35.161968], [-80.82999, 35.166316], [-80.830706, 35.168615], [-80.830055, 35.171766], [-80.833082, 35.173931]]]"
371190030071,"[[[-80.819996, 35.141032], [-80.81935, 35.140885], [-80.819164, 35.140857], [-80.816688, 35.140317], [-80.811934, 35.140731], [-80.8074, 35.139144], [-80.80317, 35.138568], [-80.805408, 35.136625], [-80.807622, 35.133363], [-80.809177, 35.132571], [-80.810447, 35.131856], [-80.813476, 35.129183], [-80.820831, 35.13521], [-80.819996, 35.141032]]]"
371190030074,"[[[-80.824073, 35.115463], [-80.827768, 35.11667], [-80.828721, 35.117201], [-80.827215, 35.12281], [-80.827663, 35.123955], [-80.822834, 35.127615], [-80.820776, 35.130317], [-80.823033, 35.131295], [-80.823864, 35.134445], [-80.820831, 35.13521], [-80.813476, 35.129183], [-80.816061, 35.126367], [-80.817627, 35.122941], [-80.824073, 35.115463]]]"
371190030082,"[[[-80.849588, 35.096369], [-80.847699, 35.095656], [-80.84571, 35.097476], [-80.842794, 35.097161], [-80.840803, 35.095621], [-80.844358, 35.091494], [-80.8452, 35.087753], [-80.852923, 35.087661], [-80.85395, 35.089824], [-80.849588, 35.096369]]]"
371190030114,"[[[-80.830955, 35.120018], [-80.834978, 35.118652], [-80.838444, 35.118383], [-80.844811, 35.119687], [-80.845351, 35.121076], [-80.837929, 35.123517], [-80.838688, 35.126272], [-80.840181, 35.12723], [-80.840843, 35.132376], [-80.839461, 35.133029], [-80.839061, 35.133119], [-80.837004, 35.129434], [-80.833704, 35.125736], [-80.830955, 35.120018]]]"
371190030132,"[[[-80.80692, 35.118138], [-80.80361, 35.118778], [-80.801879, 35.117992], [-80.798831, 35.120841], [-80.793691, 35.119145], [-80.791908, 35.119859], [-80.790981, 35.122207], [-80.788416, 35.125111], [-80.783756, 35.125366], [-80.78123, 35.128417], [-80.780877, 35.124649], [-80.779444, 35.117352], [-80.783469, 35.115109], [-80.787497, 35.112181], [-80.793074, 35.110916], [-80.800291, 35.109375], [-80.802556, 35.108844], [-80.807928, 35.105146], [-80.807381, 35.108659], [-80.805066, 35.110738], [-80.805301, 35.116119], [-80.80692, 35.118138]]]"
371190030161,"[[[-80.758246, 35.112436], [-80.759149, 35.111916], [-80.761227, 35.110455], [-80.766692, 35.106444], [-80.768225, 35.108178], [-80.770701, 35.10795], [-80.772358, 35.106358], [-80.774404, 35.106433], [-80.778625, 35.108379], [-80.77861, 35.113254], [-80.775041, 35.112871], [-80.772094, 35.113306], [-80.76771, 35.115202], [-80.765205, 35.113034], [-80.760321, 35.113194], [-80.758246, 35.112436]]]"
371190030181,"[[[-80.784124, 35.098088], [-80.791169, 35.101821], [-80.791826, 35.103435], [-80.792308, 35.107638], [-80.790731, 35.109136], [-80.793074, 35.110916], [-80.787497, 35.112181], [-80.783469, 35.115109], [-80.779444, 35.117352], [-80.779304, 35.116771], [-80.77861, 35.113254], [-80.778625, 35.108379], [-80.779123, 35.103981], [-80.778741, 35.100013], [-80.784124, 35.098088]]]"
371190031032,"[[[-80.87943, 35.177948], [-80.875876, 35.176484], [-80.871426, 35.174687], [-80.866947, 35.173235], [-80.862827, 35.172555], [-80.859652, 35.172709], [-80.858022, 35.172519], [-80.857285, 35.172471], [-80.859705, 35.168781], [-80.861277, 35.168821], [-80.860341, 35.164896], [-80.863083, 35.160827], [-80.868073, 35.162826], [-80.876139, 35.164923], [-80.876158, 35.163983], [-80.876092, 35.162908], [-80.877003, 35.162925], [-80.877194, 35.162943], [-80.877903, 35.170681], [-80.87943, 35.177948]]]"
371190031062,"[[[-80.857795, 35.148011], [-80.859135, 35.146585], [-80.860317, 35.141091], [-80.864, 35.136488], [-80.865181, 35.137141], [-80.865913, 35.137654], [-80.867631, 35.139894], [-80.865272, 35.141253], [-80.86754, 35.142946], [-80.870454, 35.142907], [-80.870387, 35.148055], [-80.868088, 35.149735], [-80.86765, 35.149354], [-80.86598, 35.148122], [-80.862104, 35.147398], [-80.857795, 35.148011]]]"
371190031092,"[[[-80.869604, 35.119384], [-80.871965, 35.120113], [-80.874546, 35.122197], [-80.875266, 35.123629], [-80.875055, 35.124728], [-80.875703, 35.125572], [-80.874931, 35.127324], [-80.873282, 35.12548], [-80.872412, 35.125196], [-80.870777, 35.125103], [-80.869723, 35.124444], [-80.869615, 35.123298], [-80.870375, 35.121825], [-80.870465, 35.121012], [-80.869604, 35.119384]]]"
371190032041,"[[[-80.864819, 35.186231], [-80.865514, 35.19027], [-80.862268, 35.192611], [-80.86149, 35.192783], [-80.860292, 35.188622], [-80.856578, 35.186568], [-80.85599, 35.185231], [-80.857418, 35.181511], [-80.859436, 35.179405], [-80.859498, 35.179524], [-80.859494, 35.179797], [-80.86229, 35.184278], [-80.864819, 35.186231]]]"
371190033002,"[[[-80.869442, 35.199404], [-80.868326, 35.199193], [-80.86782, 35.198898], [-80.866925, 35.198257], [-80.863307, 35.195223], [-80.86149, 35.192783], [-80.862268, 35.192611], [-80.865514, 35.19027], [-80.872548, 35.194804], [-80.87281, 35.194891], [-80.872881, 35.19482], [-80.869442, 35.199404]]]"
371190034003,"[[[-80.848575, 35.204896], [-80.850328, 35.202794], [-80.852453, 35.202593], [-80.856725, 35.203615], [-80.861046, 35.20693], [-80.859831, 35.209774], [-80.859917, 35.20984], [-80.860383, 35.210354], [-80.859493, 35.211542], [-80.858664, 35.212477], [-80.857708, 35.211751], [-80.848575, 35.204896]]]"
371190035002,"[[[-80.848575, 35.204896], [-80.857708, 35.211751], [-80.858664, 35.212477], [-80.857693, 35.213642], [-80.856785, 35.214548], [-80.855607, 35.213672], [-80.853281, 35.211937], [-80.846672, 35.216041], [-80.844299, 35.213479], [-80.844334, 35.208348], [-80.848575, 35.204896]]]"
371190036004,"[[[-80.867908, 35.222142], [-80.870973, 35.219225], [-80.871782, 35.217783], [-80.87217, 35.217806], [-80.873211, 35.217757], [-80.876904, 35.216903], [-80.883727, 35.216166], [-80.883779, 35.216721], [-80.883233, 35.222242], [-80.879556, 35.222242], [-80.867908, 35.222142]]]"
371190038063,"[[[-80.912239, 35.160881], [-80.912828, 35.164493], [-80.904718, 35.169636], [-80.903684, 35.164797], [-80.901597, 35.162834], [-80.895267, 35.16374], [-80.896247, 35.16189], [-80.896948, 35.157113], [-80.907294, 35.158134], [-80.908039, 35.160081], [-80.912239, 35.160881]]]"
371190038081,"[[[-80.888243, 35.141648], [-80.886168, 35.136845], [-80.891848, 35.13554], [-80.894178, 35.140357], [-80.888243, 35.141648]]]"
371190039022,"[[[-80.908026, 35.206924], [-80.908152, 35.210192], [-80.905905, 35.214428], [-80.905696, 35.21601], [-80.903192, 35.220476], [-80.899661, 35.222341], [-80.89869, 35.222365], [-80.896375, 35.222341], [-80.895204, 35.217239], [-80.8931, 35.213506], [-80.893625, 35.207325], [-80.893499, 35.204738], [-80.897706, 35.200628], [-80.899057, 35.200117], [-80.896526, 35.203385], [-80.896998, 35.207048], [-80.89759, 35.211575], [-80.903085, 35.211093], [-80.908026, 35.206924]]]"
371190001001,"[[[-80.852578, 35.2196], [-80.855187, 35.222785], [-80.853939, 35.22365], [-80.85182, 35.22444], [-80.848937, 35.227142], [-80.850164, 35.228311], [-80.848229, 35.229769], [-80.848427, 35.231802], [-80.845138, 35.228969], [-80.843083, 35.2272], [-80.849104, 35.223034], [-80.852578, 35.2196]]]"
371190001002,"[[[-80.841829, 35.231258], [-80.845138, 35.228969], [-80.848427, 35.231802], [-80.845393, 35.234342], [-80.844749, 35.233802], [-80.841829, 35.231258]]]"
371190001003,"[[[-80.835541, 35.232534], [-80.843083, 35.2272], [-80.845138, 35.228969], [-80.841829, 35.231258], [-80.839796, 35.231163], [-80.836577, 35.233447], [-80.835541, 35.232534]]]"
371190001004,"[[[-80.83802, 35.222916], [-80.843083, 35.2272], [-80.835541, 35.232534], [-80.833929, 35.231243], [-80.833429, 35.230813], [-80.836596, 35.22843], [-80.834669, 35.226815], [-80.836821, 35.225307], [-80.835844, 35.22447], [-80.83802, 35.222916]]]"
371190004001,"[[[-80.866983, 35.22303], [-80.866831, 35.223194], [-80.866327, 35.223687], [-80.865533, 35.224385], [-80.861888, 35.227172], [-80.860434, 35.229011], [-80.856831, 35.226998], [-80.853939, 35.22365], [-80.855187, 35.222785], [-80.852578, 35.2196], [-80.85137, 35.218458], [-80.856785, 35.214548], [-80.860692, 35.216434], [-80.859294, 35.218454], [-80.862014, 35.220914], [-80.863927, 35.223151], [-80.866983, 35.22303]]]"
371190006001,"[[[-80.828485, 35.224796], [-80.830012, 35.221281], [-80.83476, 35.225242], [-80.827534, 35.230375], [-80.826593, 35.229342], [-80.824857, 35.22788], [-80.827308, 35.227346], [-80.828485, 35.224796]]]"
371190008001,"[[[-80.824857, 35.22788], [-80.822339, 35.230033], [-80.823165, 35.232179], [-80.820136, 35.234992], [-80.815402, 35.233524], [-80.811067, 35.232901], [-80.812047, 35.229288], [-80.813558, 35.226941], [-80.817996, 35.223118], [-80.819793, 35.224442], [-80.823777, 35.227009], [-80.824857, 35.22788]]]"
371190010001,"[[[-80.801843, 35.231596], [-80.801306, 35.231079], [-80.800811, 35.229552], [-80.801231, 35.228821], [-80.802711, 35.223798], [-80.809677, 35.225073], [-80.807853, 35.23245], [-80.801843, 35.231596]]]"
371190011002,"[[[-80.815093, 35.215543], [-80.815557, 35.217862], [-80.811057, 35.21701], [-80.803304, 35.212928], [-80.801076, 35.210575], [-80.802111, 35.209862], [-80.802528, 35.208914], [-80.804209, 35.207133], [-80.807317, 35.205508], [-80.807992, 35.205187], [-80.808792, 35.206343], [-80.808899, 35.206472], [-80.811266, 35.209341], [-80.814493, 35.213843], [-80.815093, 35.215543]]]"
371190013002,"[[[-80.799633, 35.238066], [-80.798972, 35.238718], [-80.795667, 35.242018], [-80.791218, 35.239987], [-80.790343, 35.238451], [-80.791876, 35.235626], [-80.791425, 35.235542], [-80.790806, 35.235375], [-80.795249, 35.233599], [-80.796568, 35.234947], [-80.799633, 35.238066]]]"
371190015041,"[[[-80.769301, 35.241145], [-80.780691, 35.244679], [-80.781027, 35.249517], [-80.776518, 35.250767], [-80.771613, 35.249307], [-80.765187, 35.249304], [-80.761998, 35.250226], [-80.76093, 35.250594], [-80.75808, 35.251126], [-80.757877, 35.251074], [-80.757764, 35.251036], [-80.75784, 35.249351], [-80.761614, 35.245795], [-80.764426, 35.244578], [-80.769301, 35.241145]]]"
371190015071,"[[[-80.75099, 35.242853], [-80.752333, 35.244586], [-80.752495, 35.247682], [-80.747312, 35.251274], [-80.746657, 35.251684], [-80.745251, 35.249953], [-80.74382, 35.244645], [-80.744249, 35.244727], [-80.744888, 35.244681], [-80.745135, 35.243735], [-80.745134, 35.243369], [-80.75099, 35.242853]]]"
371190015081,"[[[-80.716554, 35.240851], [-80.721107, 35.238236], [-80.725965, 35.243309], [-80.727827, 35.244193], [-80.730895, 35.24694], [-80.734237, 35.245859], [-80.737439, 35.246477], [-80.736377, 35.254836], [-80.736216, 35.258278], [-80.727304, 35.258616], [-80.723098, 35.256536], [-80.717718, 35.255408], [-80.71872, 35.250041], [-80.717054, 35.247062], [-80.716554, 35.240851]]]"
371190015101,"[[[-80.735614, 35.265129], [-80.734856, 35.260831], [-80.734683, 35.260468], [-80.735381, 35.259671], [-80.735789, 35.259207], [-80.736157, 35.258599], [-80.736216, 35.258278], [-80.746657, 35.251684], [-80.747312, 35.251274], [-80.751786, 35.25681], [-80.752408, 35.257338], [-80.746449, 35.260368], [-80.74594, 35.261704], [-80.7411, 35.263267], [-80.741121, 35.267057], [-80.735614, 35.265129]]]"
371190016051,"[[[-80.771281, 35.213992], [-80.77572, 35.215132], [-80.780725, 35.215613], [-80.780586, 35.219914], [-80.779444, 35.222241], [-80.775304, 35.228146], [-80.772705, 35.22649], [-80.771584, 35.223115], [-80.770575, 35.219418], [-80.771281, 35.213992]]]"
371190016081,"[[[-80.775653, 35.236789], [-80.77913, 35.241279], [-80.780691, 35.244679], [-80.769301, 35.241145], [-80.759239, 35.237858], [-80.759652, 35.236944], [-80.760564, 35.234544], [-80.763629, 35.235028], [-80.769116, 35.234161], [-80.770559, 35.234417], [-80.775653, 35.236789]]]"
371190017011,"[[[-80.785349, 35.203809], [-80.787159, 35.203175], [-80.789795, 35.207468], [-80.797892, 35.211362], [-80.795159, 35.213049], [-80.791288, 35.21224], [-80.788803, 35.216573], [-80.786649, 35.216141], [-80.780725, 35.215613], [-80.780878, 35.214192], [-80.783475, 35.207822], [-80.785051, 35.204514], [-80.785349, 35.203809]]]"
371190018012,"[[[-80.79127, 35.196716], [-80.791564, 35.196469], [-80.793092, 35.195372], [-80.796511, 35.196798], [-80.801118, 35.200954], [-80.807251, 35.204322], [-80.804968, 35.203331], [-80.800778, 35.203482], [-80.796702, 35.200327], [-80.791064, 35.203118], [-80.786119, 35.201915], [-80.79127, 35.196716]]]"
