X,Y,OBJECTID,FULL_ADDRESS,Name,PID,BWID,Address,DateAdded,DateDeleted,GlobalID
-80.8941703191184,35.4775662399269,564,19815 NORTH COVE RD,Harris Teeter,00110129,300163356,372654,2019/01/01 00:00:00+00,1970/01/01 00:00:00+00,{DC1465EE-6740-4B87-81B5-03CC31E43AE7}
-80.8600114302022,35.4830218332931,5577,20125 N MAIN ST,Food Lion,00317714,300159718,67267,2019/01/01 00:00:00+00,1970/01/01 00:00:00+00,{45059778-BEC1-4CA9-9731-573E24D1BA0A}
-80.8602107996467,35.5005208376682,6031,431 PENINSULA DR,Harris Teeter,00323188,,487398,2019/01/01 00:00:00+00,1970/01/01 00:00:00+00,{A037022E-C4E7-4616-8F55-1D1DFE3F9876}
-80.8617580224904,35.4441764262121,6886,9759 SAM FURR RD,Harris Teeter,00504207,300161800,224302,2019/01/01 00:00:00+00,1970/01/01 00:00:00+00,{E6E9DB66-59EF-40C0-B8F7-01C5F318738D}
-80.8614060634391,35.4431787930274,6899,9801 SAM FURR RD,Target,00504218,300161800,401393,2019/01/01 00:00:00+00,1970/01/01 00:00:00+00,{1E48764E-D4E7-44B0-8E98-844A7BA193A5}
-80.8716614358813,35.4440432499332,6930,9129 SAM FURR RD,Whole Foods Market,00505208,301920090,391623,2019/01/01 00:00:00+00,1970/01/01 00:00:00+00,{4C6E8441-0742-4389-ACFE-1471FE3669BD}
-80.8920529869445,35.4465353890598,6967,17001 KENTON DR,Harris Teeter,00506108,,362878,1970/01/01 00:00:00+00,2020/10/15 00:00:00+00,{A4E88BE7-70A4-4678-8994-590F3EDF4B6E}
-80.8886080235737,35.4754462685184,8423,8311 MAGNOLIA ESTATES DR,Publix,00524127,301971829,366742,2019/01/01 00:00:00+00,1970/01/01 00:00:00+00,{59685A57-6CD2-4350-B875-F6AD75FA029E}
-80.8619116906537,35.4091281915469,20189,9925 ROSE COMMONS DR,Harris Teeter,01715229,300163360,393148,2019/01/01 00:00:00+00,1970/01/01 00:00:00+00,{41F3BB5F-A398-4F5E-BE29-6B4B41D30AF1}
-80.864330686476,35.4084919407352,20203,9815 ROSE COMMONS DR,Publix,01715263,301909798,351310,2019/01/01 00:00:00+00,1970/01/01 00:00:00+00,{2FCA6629-E773-4651-8692-744512BE5C9A}
-80.8676458016774,35.3568814768832,23247,9548 MT HOLLY-HUNTERSVILLE RD,Food Lion,02510201,300178585,286026,2019/01/01 00:00:00+00,1970/01/01 00:00:00+00,{C31CF670-7B57-40CE-8BCA-EE38641ECA74}
-80.7810225528929,35.3190506462284,25297,2201 W W T HARRIS BV,Harris Teeter,02703110,,75478,1970/01/01 00:00:00+00,2020/10/15 00:00:00+00,{61EF5771-5587-46F5-B37F-91EEFAB04001}
-80.7695638946039,35.3434784596713,33539,3024 PROSPERITY CHURCH RD,The Fresh Market,02936105,,100813,1970/01/01 00:00:00+00,2020/10/15 00:00:00+00,{437BBE31-8C65-437C-AB26-FF0FA691BF72}
-80.9514935522835,35.3190316027723,38752,2924 MT HOLLY-HUNTERSVILLE RD,Bi-Lo,03113203,300247410,338444,2019/01/01 00:00:00+00,1970/01/01 00:00:00+00,{517FC506-8835-4E08-9548-10503550956A}
-80.9456225477289,35.3226821772631,41935,3540 MT HOLLY-HUNTERSVILLE RD,Harris Teeter,03301226,100036977,342841,1970/01/01 00:00:00+00,2020/10/15 00:00:00+00,{E150F3C2-BA07-4CFE-A99D-36EE0D3E83C6}
-80.8013539952691,35.3017585420907,52573,2800 W SUGAR CREEK RD,Save-A-Lot,04320101,,92256,2019/01/01 00:00:00+00,1970/01/01 00:00:00+00,{6F4B9328-C13A-46F4-93F5-0EB8EA72CF5B}
-80.7545588882166,35.3147350115403,57790,8909 J W CLAY BV,Sam's Club,04720139,100035064,210522,2019/01/01 00:00:00+00,1970/01/01 00:00:00+00,{3F03917F-05B6-4F2C-A704-8DDD70DFD511}
