NPA,NPA_str,longitude,latitude
421,421,-80.90487419354837,35.420335483870964
447,447,-80.91110277777778,35.40431111111112
450,450,-80.93946272727273,35.37903363636363
446,446,-80.90249523809523,35.39267619047619
466,466,-80.8912666666667,35.37060833333333
266,266,-80.899,35.34167380952381
191,191,-80.87338095238097,35.34845238095238
209,209,-80.86689310344826,35.33898275862069
196,196,-80.8783512820513,35.32182307692308
260,260,-80.85243333333335,35.32054074074074
123,123,-80.86548378378379,35.28971351351352
139,139,-80.85335217391305,35.29002173913044
70,70,-80.86453333333333,35.26416000000001
374,374,-80.84787333333333,35.26354
85,85,-80.86054999999999,35.25674166666666
311,311,-80.8465705882353,35.25197647058823
382,382,-80.86182857142857,35.243900000000004
