NPA,r1_2015,r1_2013,m47_2018,r47_2018,m47_2017,r47_2017,m47_2016,r47_2016,m47_2015,r47_2015,m47_2013,r47_2013,m47_2010,r47_2010,m47_2000,r47_2000,m2_2018,m2_moe_2018,m2_2017,m2_moe_2017,m12_2018,m12_moe_2018,m12_2017,m12_moe_2017,m13_2018,m13_moe_2018,m13_2017,m13_moe_2017,m14_2018,m14_moe_2018,m14_2017,m14_moe_2017,m14_2010,m14_2000,m15_2018,m15_moe_2018,m15_2017,m15_moe_2017,m15_2010,m15_2000,m16_2018,m16_moe_2018,m16_2017,m16_moe_2017,m16_2010,m16_2000,m17_2018,m17_moe_2018,m17_2017,m17_moe_2017,m17_2010,m17_2000,m18_2018,m18_moe_2018,m18_2017,m18_moe_2017,m18_2010,m18_2000,m11_2018,r11_2018,m11_2017,r11_2017,m11_2016,r11_2016,m11_2015,r11_2015,m11_2013,r11_2013,m11_2011,r11_2011
NPA,Area,Area,Population_Density_2018,Population _2018,Population_Density_2017,Population _2017,Population_Density_2016,Population _2016,Population_Density_2015,Population _2015,Population_Density_2013,Population _2013,Population_Density_2010,Population_2010,Population_Density_2000,Population _2000,Age_of_Residents_2018,Age_of_Residents_moe_2018,Age_of_Residents_2017,Age_of_Residents_moe_2017,Youth_Population_2018,Youth_Population_moe_2018,Youth_Population_2017,Youth_Population_moe_2017,Older_Adult_Population_2018,Older_Adult_Population_moe_2018,Older_Adult_Population_2017,Older_Adult_Population_moe_2017,White_Population_2018,White_Population_moe_2018,White_Population_2017,White_Population_moe_2017,White_Population_2010,White_Population_2000,Black_Population_2018,Black_Population_moe_2018,Black_Population_2017,Black_Population_moe_2017,Black_Population_2010,Black_Population_2000,Asian_Population_2018,Asian_Population_moe_2018,Asian_Population_2017,Asian_Population_moe_2017,Asian_Population_2010,Asian_Population_2000,All_Other_Races_2018,All_Other_Races_moe_2018,All_Other_Races_2017,All_Other_Races_moe_2017,All_Other_Races_2010,All_Other_Races_2000,Hispanic_Latino_2018,Hispanic_Latino_moe_2018,Hispanic_Latino_2017,Hispanic_Latino_moe_2017,Hispanic_Latino_2010,Hispanic_Latino_2000,Vacant_Land_2018,Vacant_Land_Area_2018,Vacant_Land_2017,Vacant_Land_Area_2017,Vacant_Land_2016,Vacant_Land_Area_2016,Vacant_Land_2015,Vacant_Land_Area_2015,Vacant_Land_2013,Vacant_Land_Area_2013,Vacant_Land_2011,Vacant_Land_Area_2011
2,411,411,5,2243,5,2241,5,2240,5,2216,5,2167,5,2039,6,2413,33,,33,,18,6,18,6,8,3,6,2,55,3,54,14,52.8,43.4,35,11,28,10,33.7,37.8,1,2,1,1,1.5,7.2,0,2,3,5,2.8,3.2,8,6,15,10,9.2,8.5,4.3,18,4.3,18,4.3,18,4.3,18,4.3,18,4.3,18
3,1156,1156,8,9758,8,8816,7,7986,7,7938,7,7810,6,6563,5,5694,36,,36,,15,3,14,3,8,2,9,2,82,4,84,4,83.7,85.7,8,2,7,2,10.2,10.7,4,1,3,2,2.1,0.7,0,1,4,3,1.9,1.3,3,1,2,1,2.1,1.5,2.4,27,2.4,27,2.4,27,2.5,29,2.8,33,3.2,36
4,329,329,3,1120,3,1089,3,1080,3,1078,3,1065,3,1002,5,1535,49,11,48,7,21,7,26,7,22,6,19,5,97,4,95,7,93.3,87.8,0,1,0,1,1.6,5.1,3,3,5,6,3.5,3.1,0,3,0,5,0.7,1.5,0,1,0,1,0.9,2.5,4.3,14,4.3,14,4.3,14,5.1,17,5.1,17,5.1,17
5,167,167,5,772,5,790,5,790,4,745,5,763,4,603,4,659,31,11,30,11,37,12,38,10,8,6,6,6,9,4,7,5,8.6,21.2,90,17,92,14,83.3,73.4,1,4,2,2,2,0.2,0,4,0,6,3.5,1.2,0,2,0,2,2.7,4,21.4,36,21.4,36,21.4,36,21.4,36,21.4,36,21.4,36
6,403,403,5,1839,5,1871,5,1853,4,1724,4,1775,4,1638,5,2024,39,,44,,24,7,20,6,9,4,9,4,15,5,17,8,14.7,23.2,77,15,77,16,78.6,72.9,1,2,1,1,1.1,0.3,0,2,1,5,1.7,2.2,5,4,4,4,3.8,1.5,7.7,31,7.7,31,7.7,31,7.7,31,7.7,31,7.7,31
7,548,548,2,1330,2,1325,2,1308,2,1310,2,1293,2,1193,2,1169,47,4,47,3,28,6,32,7,11,4,11,4,94,9,97,5,95.3,98.3,0,1,0,1,0.4,0.6,1,3,0,1,1.8,0.8,0,3,0,4,1.2,0,3,5,3,4,1.3,0.3,1.8,10,1.8,10,1.8,10,2.2,12,2.2,12,2.3,13
8,597,597,3,1926,3,1846,3,1858,3,1850,3,1515,3,1761,2,1346,41,15,36,9,9,6,15,6,26,7,21,7,72,4,78,13,78.6,84,9,5,8,4,11.8,9.3,11,2,9,10,3.6,1.7,0,2,0,3,1.8,1.6,4,6,5,11,4.2,3.5,2,12,2,12,2,12,2.3,14,2.3,14,2.4,14
9,94,94,7,622,6,602,7,620,6,607,6,583,6,538,7,608,31,7,28,6,13,7,12,7,10,8,8,6,73,15,77,13,71.4,62.8,8,5,8,4,17.7,29.9,8,3,5,9,2.4,1,0,4,1,8,2,2.8,10,8,9,9,6.5,3.5,3.2,3,3.2,3,3.2,3,3.2,3,3.2,3,3.2,3
10,551,551,7,3814,7,3788,7,3785,7,3735,6,3561,6,3355,7,3711,39,,39,,14,4,13,4,17,3,16,4,34,4,39,5,32.2,34.7,46,8,44,10,52,50.1,4,2,4,2,4.3,4.6,0,2,5,5,2.5,2.5,12,6,9,5,9,8.1,2.9,16,2.9,16,2.9,16,2.9,16,2.9,16,2.9,16
