NPA,m37_2018,m37_moe_2018,m37_2017,m37_moe_2017,m80_2018,m80_2017,m80_2016,m80_2015,m80_2013,m80_2011,m38_2018,m38_moe_2018,m38_2017,m38_moe_2017,m75_2015,r75_2015,m75_2014,r75_2014,m75_2013,r75_2013,m75_2012,r75_2012,m75_2011,r75_2011,m75_2010,r75_2010,m75_2009,r75_2009,m75_2008,r75_2008,m75_2007,r75_2007,m75_2006,r75_2006,m75_2005,r75_2005,m75_2004,r75_2004,m75_2003,r75_2003,m75_2002,r75_2002,m19_2018,r19_2018,m19_2017,r19_2017,m19_2016,r19_2016,m19_2015,r19_2015,m19_2014,r19_2014,m19_2013,r19_2013,m19_2012,r19_2012,m19_2011,r19_2011,m41_2018,r41_2018,m41_2017,r41_2017,m41_2016,r41_2016,m41_2015,r41_2015,m41_2013,r41_2013,m41_2011,r41_2011,m42_2018,m42_2017,m42_2016,m42_2015,m42_2013,m42_2011,m79_2018,r79_2018,m79_2017,r79_2017,m79_2016,r79_2016,m79_2015,r79_2015,m79_2014,r79_2014
NPA,Household_Income_2018,Household_Income_moe_2018,Household_Income_2017,Household_Income_moe_2017,Public_Nutrition_Assistance_2018,Public_Nutrition_Assistance_2017,Public_Nutrition_Assistance_2016,Public_Nutrition_Assistance_2015,Public_Nutrition_Assistance_2013,Public_Nutrition_Assistance_2011,Employment_Rate_2018,Employment_Rate_moe_2018,Employment_Rate_2017,Employment_Rate_moe_2017,Job_Density_2015,Jobs_2015,Job_Density_2014,Jobs_2014,Job_Density_2013,Jobs_2013,Job_Density_2012,Jobs_2012,Job_Density_2011,Jobs_2011,Job_Density_2010,Jobs_2010,Job_Density_2009,Jobs_2009,Job_Density_2008,Jobs_2008,Job_Density_2007,Jobs_2007,Job_Density_2006,Jobs_2006,Job_Density_2005,Jobs_2005,Job_Density_2004,Jobs_2004,Job_Density_2003,Jobs_2003,Job_Density_2002,Jobs_2002,Commercial_Construction_2018,Commercial_Construction_Permitted_Units_2018,Commercial_Construction_2017,Commercial_Construction_Permitted_Units_2017,Commercial_Construction_2016,Commercial_Construction_Permitted_Units_2016,Commercial_Construction_2015,Commercial_Construction_Permitted_Units_2015,Commercial_Construction_2014,Commercial_Construction_Permitted_Units_2014,Commercial_Construction_2013,Commercial_Construction_Permitted_Units_2013,Commercial_Construction_2012,Commercial_Construction_Permitted_Units_2012,Commercial_Construction_2011,Commercial_Construction_Permitted_Units_2011,Commercial_Size_2018,Commercial_Size_Total_2018,Commercial_Size_2017,Commercial_Size_Total_2017,Commercial_Size_2016,Commercial_Size_Total_2016,Commercial_Size_2015,Commercial_Size_Total_2015,Commercial_Size_2013,Commercial_Size_Total_2013,Commercial_Size_2011,Commercial_Size_Total_2011,Commercial_Building_Age_2018,Commercial_Building_Age_2017,Commercial_Building_Age_2016,Commercial_Building_Age_2015,Commercial_Building_Age_2013,Commercial_Building_Age_11,Fincancial_Services_Proximity_2018,Financial_Services_Proximate_Units_2018,Fincancial_Services_Proximity_2017,Financial_Services_Proximate_Units_2017,Fincancial_Services_Proximity_2016,Financial_Services_Proximate_Units_2016,Fincancial_Services_Proximity_2015,Financial_Services_Proximate_Units_2015,Fincancial_Services_Proximity_2014,Financial_Services_Proximate_Units_2014
2,43971,,45776,,12,14,18,17,23,26,96,23,93,24,2.8,1151,2.5,1045,2.8,1165,2.9,1172,2.1,864,1.9,800,2,804,2.1,880,2.1,883,2.1,873,2.2,923,2.3,959,2.7,1099,2.5,1012,3.17,13,1.95,8,4.38,18,12.16,50,2.67,11,2.19,9,1.7,7,1.22,5,12942,478848,12942,478854,12942,478848,12670,456137,13630,545219,13336,546788,52,51,50,51,49,47,23,248,21,225,21,224,21,224,21,223
3,102133,,97294,,2,3,5,4,4,6,90,14,99,1,27.9,32237,29.2,33769,29.3,33915,27,31177,25.2,29102,25.8,29838,25.6,29621,23.5,27147,22.1,25558,21.1,24426,20.1,23184,19.6,22617,19.4,22394,19.6,22684,12.46,144,14.27,165,12.28,142,8.56,99,14.36,166,12.11,140,16.52,191,13.76,159,32379,11850617,31505,11499325,30514,11259845,28152,10500735,27466,10382242,24289,9569708,64,64,63,63,62,60,100,5914,100,5277,99,4699,99,4725,99,4717
4,185417,49227,156250,52580,0,0,0,0,1,1,87,41,100,0,0.1,41,0.2,54,0.2,70,0.2,65,0.2,55,0.2,51,0.3,86,0.3,109,0.4,143,1.2,391,1,330,1,318,1,324,0.9,289,0.61,2,0.3,1,0.91,3,0,0,0.3,1,0.3,1,0,0,0.3,1,4398,4398,4398,4398,4398,4398,4398,4398,4398,4398,4398,4398,35,34,33,32,30,28,13,56,15,62,17,67,17,67,17,67
5,26563,16026,22589,7914,53,56,55,56,54,61,85,28,75,38,0.8,139,0.8,129,0.8,130,0.8,127,0.9,152,0.8,134,0.7,120,0.8,136,0.6,102,0.5,77,1,171,1,161,1.6,262,1.6,273,1.79,3,6.58,11,14.96,25,6.58,11,2.39,4,0.6,1,0,0,11.97,20,27485,357301,27487,357331,32212,483185,28777,489205,28847,490401,27561,496101,53,52,53,55,53,52,36,116,14,44,13,44,13,44,13,43
6,30051,,27381,,39,43,53,54,46,54,90,20,85,28,2,806,2.2,903,1.9,753,1.7,705,1.7,673,1.7,705,1.8,721,2.2,905,2,806,2.1,835,2,815,1.9,779,1.9,760,2,787,2.73,11,3.22,13,0.99,4,1.49,6,2.48,10,1.74,7,1.49,6,0.99,4,11927,811036,11734,809646,11734,809666,11740,810086,11716,808387,11596,811695,53,52,51,50,47,47,62,499,61,498,61,501,61,500,61,503
7,"250,000+",,243125,70642,0,0,0,0,0,0,71,39,98,5,6.6,3633,7.6,4165,7.4,4082,6.8,3743,7.5,4093,7.1,3912,6.8,3749,6.2,3399,7,3861,7.4,4038,5.4,2951,6,3266,6.1,3365,7.7,4237,5.48,30,8.03,44,5.48,30,6.02,33,8.21,45,3.83,21,5.29,29,4.93,27,50729,1724784,46749,1542717,46749,1542726,49318,1726120,45219,1582653,45222,1582777,26,26,25,24,22,20,68,292,58,248,56,241,56,240,56,237
8,60179,17700,58516,29634,1,6,8,7,4,8,99,40,96,7,1,609,1.1,683,1.1,647,1.3,803,0.9,560,0.8,494,0.9,524,0.9,565,0.9,558,1.3,761,1.1,684,1.4,827,1.2,720,1.3,776,0.67,4,0.34,2,0.17,1,0.5,3,0.67,4,0.5,3,2.68,16,0.34,2,12398,74387,11871,71226,11871,71228,10627,74387,10627,74387,10927,76488,33,35,34,33,31,33,42,451,44,453,48,495,48,493,47,486
9,69327,59801,64107,32918,11,9,9,9,14,16,95,15,95,9,0.5,42,0.4,40,1.3,126,1.1,101,0.7,63,0.6,53,0.5,48,0.5,48,0.5,47,0.5,46,0.6,52,0.4,37,0.6,52,0.6,58,0,0,1.07,1,3.21,3,0,0,0,0,1.07,1,4.28,4,2.14,2,2047,36838,2047,36846,2507,47627,2614,49675,2614,49675,2614,49675,70,69,67,66,64,62,15,46,11,33,11,33,11,33,11,33
10,33390,,30357,,26,27,33,32,37,36,97,16,95,3,1.2,647,1.1,600,1.1,613,1,566,0.8,434,0.7,384,0.9,476,0.9,486,0.8,440,1.3,723,1.5,821,1.3,731,1.3,724,1.3,697,1.81,10,0.73,4,1.81,10,1.09,6,1.09,6,1.09,6,2,11,0.36,2,6569,400693,6572,400892,6531,404899,6509,403549,6530,404865,6396,402957,49,49,48,47,45,43,63,1001,59,935,64,1011,63,1010,65,1031
