NPA,m50_2013,r50_2013,m52_2016,r52_2016,m52_2015,r52_2015,m52_2013,r52_2013,m48_2018,r48_2018,m48_2017,r48_2017,m48_2016,r48_2016,m48_2015,r48_2015,m48_2014,r48_2014,m48_2012,r48_2012,m48_2010,r48_2010,m72_2018,r72_2018,m72_2017,r72_2017,r73_2015,r73_2014
NPA,Arts_Participation_2013,Arts_Participating_Households_2013,311_Requests_2016,311_Calls_2016,311_Requests_2015,311_Calls_2015,311_Requests_2013,311_Calls_2013,Voter_Participation_2018,Voters_Participating_2018,Voter_Participation_2017,Voters_Participating_2017,Voter_Participation_2016,Voters_Participating_2016,Voter_Participation_2015,Voters_Participating_2015,Voter_Participation_2014,Voters_Participating_2014,Voter_Participation_2012,Voters_Participating_2012,Voter_Participation_2010,Voters_Participating_2010,Board_Committee_Participation_2018,Board_Committee_Participants_2018,Board_Committee_Participation_2017,Board_Committee_Participants_2017,Neighborhood_Organizations_2015,Neighborhood_Organizations_2014
2,15,157,31.6,707,32,708,33.4,723,66,811,24,383,76,1063,23,270,54,603,77,1029,42,496,0,0,0,0,2,2
3,36,1599,26.1,2087,24.8,1965,29.5,2300,67,3991,25,1736,76,5386,24,1354,53,2787,81,4425,47,2172,2,17,2,18,7,7
4,54,211,34,367,24.4,263,28.1,299,78,632,43,381,86,695,42,306,69,505,88,687,66,485,4,4,4,4,2,1
5,0,1,62.5,494,65.2,486,57.4,438,42,141,8,41,51,247,5,20,29,120,68,269,23,79,0,0,0,0,2,2
6,1,9,69.7,1291,72.2,1245,72.5,1286,47,452,11,158,55,710,10,107,35,380,68,795,28,280,0,0,0,0,1,1
7,72,299,22.7,297,18.4,241,23.2,300,74,694,41,424,85,820,43,399,68,611,87,826,63,565,2,3,3,4,1,1
8,21,176,27.5,511,28.1,519,36.9,559,73,691,32,363,79,989,26,257,58,583,80,816,46,455,0,0,1,1,4,3
9,30,83,40.2,249,34.3,208,38.8,226,72,280,27,138,76,325,26,87,56,175,77,265,33,111,2,1,0,0,0,0
10,7,105,48.7,1842,47.5,1774,57.1,2033,58,1070,18,471,70,1510,17,286,46,750,69,1419,34,618,1,3,1,4,2,2
11,46,539,33.1,875,30.4,797,28.5,731,77,1457,39,821,88,1649,33,539,68,1052,88,1498,55,890,1,4,2,5,2,2
12,3,31,11.6,315,10.9,291,9.5,251,45,437,7,102,62,776,8,73,34,304,71,715,28,235,0,0,0,0,0,0
13,9,151,24.7,888,22.1,790,24.6,874,59,970,18,393,72,1267,16,222,48,621,77,1114,33,448,0,1,0,1,1,1
14,10,151,23.8,901,23,871,19,712,62,1146,17,396,71,1502,14,259,49,816,79,1496,41,697,1,5,1,4,5,5
15,30,235,44.4,957,37.2,797,39.7,820,74,1070,33,558,83,1294,32,456,63,862,81,1227,57,821,1,2,3,6,4,4
16,7,145,34.5,1642,31.7,1505,34,1581,57,1316,19,579,71,1859,16,370,49,1052,77,1893,42,930,0,0,0,0,3,3
17,4,45,38,1284,35.9,1215,36.7,1233,64,1051,22,481,66,1458,19,374,51,1018,77,1563,47,865,1,3,1,3,3,3
18,33,516,27.5,923,20.8,714,25,807,70,1436,33,793,78,1851,30,608,57,1049,84,1655,48,867,1,4,1,3,4,4
19,27,463,41.5,1519,40.4,1475,38,1365,76,2002,34,1047,84,2319,31,785,64,1548,83,2274,54,1425,1,3,1,2,8,7
20,16,232,26.4,831,22.6,712,22.6,712,70,1341,26,603,82,1670,23,413,59,1009,84,1616,48,907,0,1,0,1,2,2
21,3,30,22.6,679,21.9,654,25,722,52,580,10,150,64,784,11,107,42,375,72,739,31,238,0,0,0,0,4,4
22,15,68,37.9,373,41,394,37.4,335,55,372,12,114,71,563,9,45,41,179,68,374,31,130,0,0,0,0,2,2
23,8,40,39,434,36.4,405,34.5,373,54,335,16,134,65,517,14,93,45,287,80,525,38,197,0,0,0,0,1,1
24,14,64,37.6,423,37.8,427,31.7,381,68,324,23,142,83,416,28,116,58,230,71,375,37,190,1,1,1,1,1,1
25,27,297,34.6,1029,32.7,968,34,1007,72,1478,30,724,82,1730,28,526,61,1124,81,1673,51,991,0,1,0,1,2,2
26,14,153,0.7,22,0.8,26,0.9,28,66,1233,10,226,75,1618,6,115,49,932,82,1551,49,892,1,2,1,2,1,1
27,8,78,19.8,538,17.4,472,17.4,472,58,638,15,202,75,921,12,139,48,540,77,994,38,426,0,1,0,0,0,0
28,42,220,28.8,338,29.7,356,26.5,311,75,649,39,359,87,724,38,287,66,474,88,656,58,382,2,3,4,5,2,2
29,21,117,42.9,531,33.9,419,34.9,433,75,662,30,334,83,783,28,236,60,492,81,761,53,478,2,2,2,2,2,2
30,1,4,11,265,9.6,200,18.2,225,44,435,6,92,61,837,7,65,42,350,78,562,29,134,0,1,0,1,1,0
31,44,289,40.5,678,37.2,620,39,644,80,1015,44,643,87,1137,36,439,67,777,86,1087,62,751,2,4,3,5,1,2
32,10,23,44.2,149,42.4,143,49,165,71,150,21,56,78,182,19,37,60,113,75,180,39,88,0,0,0,0,0,0
33,4,25,2.8,38,3.9,52,6.9,91,50,159,11,45,65,236,9,29,42,120,80,340,32,109,0,0,1,1,1,1
34,2,19,40.9,907,40.9,891,42.9,900,57,768,16,249,69,779,13,121,46,418,73,785,35,317,0,1,0,1,2,2
35,11,73,2.8,59,4.2,80,2.5,42,64,1019,8,143,76,1177,4,47,48,544,72,799,38,338,1,2,1,2,4,4
36,20,210,49.9,1427,42.5,1213,49.6,1194,71,1286,28,612,75,1516,23,407,54,906,78,1301,48,771,0,1,0,1,3,3
37,7,46,57.6,1069,53.2,983,59,1055,57,651,17,257,62,831,14,162,39,438,75,864,32,327,1,1,1,1,3,3
38,23,197,29.5,708,26.8,643,25.7,617,68,1053,26,471,83,1317,22,320,57,772,81,1241,49,686,0,0,0,0,4,4
39,11,97,34.7,995,30.7,859,30.2,821,64,948,20,362,72,1248,17,263,48,731,81,1224,49,625,0,0,0,0,1,1
40,4,49,29.9,956,25.7,814,26.1,816,55,743,13,251,60,1030,11,156,41,579,76,1078,39,428,0,1,0,1,2,1
41,10,81,39,612,34,533,36.6,574,65,583,20,235,77,767,19,155,48,371,77,696,41,356,0,0,0,0,1,1
42,22,288,22.8,579,16.6,418,20.1,500,76,1198,32,604,83,1442,29,464,61,923,85,1393,55,845,1,2,1,2,4,3
43,26,163,33.5,525,32.4,507,32.1,486,76,736,39,434,85,848,33,292,65,556,83,781,61,532,1,1,1,1,1,0
44,28,121,13,120,14.1,127,12.4,109,68,370,27,174,81,462,28,146,56,259,82,407,53,233,1,1,1,1,1,1
45,17,180,21.1,727,23.6,781,18.4,570,61,1849,17,570,78,1836,13,219,51,792,81,1320,43,555,1,5,1,5,1,0
46,4,43,22.6,560,21.5,532,22.4,554,54,633,13,208,66,968,12,143,39,455,74,910,37,388,0,0,0,0,1,1
47,20,127,3.7,43,3.2,38,3.2,37,67,400,23,164,77,497,20,120,61,322,88,512,54,228,0,0,0,0,0,0
48,4,22,6.1,111,3.8,69,3,54,55,446,9,95,69,653,5,42,45,354,70,667,41,327,0,0,0,0,2,2
49,7,64,15.6,416,16.1,422,15.7,404,59,836,15,261,77,1180,9,118,52,621,78,1058,43,525,0,1,0,1,0,0
