NPA,m3_2012,r3_2012,m49_2012,r49_2012,m4_2018,r4_2018,m4_2017,r4_2017,m4_2016,r4_2016,m4_2015,r4_2015,m4_2013,r4_2013,m4_2011,r4_2011,m23_2013,r23_2013,m24_2013,r24_2013,m25_2013,r25_2013,m26_2013,r26_2013,m26_2012,r26_2012,m77_2013,r77_2013,m27_2018,r27_2018,m27_2016,r27_2016,m27_2014,r27_2014,m27_2013,r27_2013,m27_2010,r27_2010,m43_2017,r43_2017,m43_2016,r43_2016,m43_2015,r43_2015,m43_2013,r43_2013,m43_2011,r43_2011,m71_2017,r71_2017,m10_2018,m10_moe_2018,m10_2017,m10_moe_2017
NPA,Tree_Canopy_2012,Tree_Canopy_Area_2012,Residential_Tree_Canopy_2012,Residential_Canopy_Area_2012,Impervious_Surface_2018,Impervious_Surface_2018,Impervious_Surface_2017,Impervious_Surface_2017,Impervious_Surface_2016,Impervious_Surface_Area_2016,Impervious_Surface_2015,Impervious_Surface_Area_2015,Impervious_Surface_2013,Impervious_Surface_Area_2013,Impervious_Surface_2011,Impervious_Surface_Area_2011,Recycling_Participation_2013,Recycling_Participating_Units_2013,Solid_Waste_2013,Solid_Waste_Total_2013,Solid_Waste_Diversion_Rate_2013,Solid_Waste_Diverted_2013,Electricity_Consumption_2013,Electricity_Consumption_Total_2013,Electricity_Consumption_2012,Electricity_Consumption_Total_2012,Natural_Gas_Consumption_2013,Natural_Gas_Consumption_Total_2013,Water_Consumption_2018,Water_Consumption_Total_2018,Water_Consumption_2016,Water_Consumption_Total_2016,Water_Consumption_2014,Water_Consumption_Total_2014,Water_Consumption_2013,Water_Consumption_Total_2013,Water_Consumption_2010,Water_Consumption_Total_2010,Adopt_a_Stream_2017,Adopt_a_Stream_Length_2017,Adopt_a_Stream_2016,Adopt_a_Stream_Length_2016,Adopt_a_Stream_2015,Adopt_a_Stream_Length_2015,Adopt_a_Stream_2013,Adopt_a_Stream_Length_2013,Adopt_a_Stream_2011,Adopt_a_Stream_Length_2011,Adopt_a_Street_2017,Adopt_a_Street_Length_2017,Commuters_Driving_Alone_2018,Commuters_Driving_Alone_moe_2018,Commuters_Driving_Alone_2017,Commuters_Driving_Alone_moe_2017
2,56.2,230.9,68.7,168.5,22.4,92,22.4,92,22.2,91,22.1,91,23.1,95,y_2011,96,55.7,281,7.2,3635,40.2,267,1078,1356368,991,1250238,43,25932,118,57785,113,56282,112,55895,118,56389,130,62572,15.79,0.3,100,1.93,16.38,0.32,0,0,0,0,28.18,3.71,78,62,76,15
3,42,485.2,60.7,260.6,38.8,448,38.6,446,37.9,438,37.3,431,36.9,427,23.3,427,42.6,838,6.8,13363,41.1,1001,1012,4195164,973,4028335,49,106609,163,285554,176,308527,161,290732,159,275334,169,280734,100,4.6,100,4.6,92.01,4.23,94.56,5.79,58.4,3.58,52.24,31.13,84,37,85,8
4,66,217.3,68.4,178.5,21,69,20.7,68,20,66,19.7,65,19.7,65,36.9,65,47.6,177,9.2,3425,40.8,255,1858,770938,1929,732981,81,29066,248,88791,267,95494,233,83321,247,85096,281,97015,0,0,100,1.58,100,1.58,100,1.58,99.68,1.58,8.78,1.01,97,95,93,21
5,42.2,70.5,56,28,21.5,36,21.5,36,22.1,37,22.1,37,25.7,43,19.7,37,36.1,68,7.4,1399,23.4,60,822,188945,866,193958,53,6296,124,19825,124,19421,100,18243,113,17391,115,17024,0,0,0,0,0,0,0,0,0,0,25.13,1.85,73,74,56,26
6,43.7,176.3,63.7,108.3,24.8,100,25.1,101,25,101,25,101,25,101,22.1,103,31.5,203,7.5,4802,29.6,259,1020,735700,1011,747787,51,18674,118,70849,131,77854,107,70955,127,71345,129,73806,,,,,,,,,,,25.08,4.4,62,53,57,17
7,55.7,305.4,64.3,214.2,26.7,146,26.8,147,26.8,147,26.5,145,26.5,145,25.5,143,50.9,216,9.6,4066,42.8,318,3161,1239208,3164,1224325,113,47784,301,102171,333,113057,312,106423,314,106196,396,133187,100,1.1,100,1.1,100,1.1,100,1.12,98.74,1.1,28.06,5.91,97,105,98,24
8,59.8,356.6,67.4,138.5,14.9,89,14.6,87,14.6,87,14.6,87,14.4,86,26.1,87,60.2,271,8.1,3623,46.4,307,884,673448,908,676448,50,29717,124,56631,132,57573,124,54456,131,55367,149,62115,100,3,80.67,2.42,76.19,2.28,63.37,2.89,37.42,1.71,27.99,5.45,91,97,89,24
9,59.5,55.7,67.7,41.1,22.4,21,21.4,20,20.3,19,18.2,17,18.2,17,14.6,17,39.7,106,5.9,1588,34.6,100,836,243968,935,275932,40,8640,104,28352,99,26987,88,24950,94,24627,107,24534,,,,,,,,,,,12.03,0.91,91,110,85,31
10,48.9,269.6,63.5,194.8,22.7,125,22.7,125,22.3,123,22.1,122,21.9,121,18.2,123,38.2,539,7.9,11120,29.3,595,836,1346805,909,1452800,45,39423,101,124871,106,131736,99,127824,106,126367,114,131863,,,,,,,,,,,14.36,4.01,82,62,80,15
11,56,285.7,67.4,184.8,28.4,145,28,143,27.6,141,27.2,139,27.8,142,22.3,131,73.2,559,7.3,5546,57.2,579,1003,1284389,1033,1320351,49,44286,174,138325,181,144419,168,134433,165,124595,178,132207,100,4.6,100,4.6,77.47,3.56,100,4.69,74.37,3.49,51.83,10.51,95,70,94,16
12,41.9,66.6,47,62.1,35.3,56,35.3,56,35.3,56,35.9,57,41.6,66,25.7,54,,,,,,,881,1193747,914,1231399,28,6860,,,,,,,,,,,100,1.3,100,1.27,100,1.27,100,1.27,0.39,0.01,0,0,65,55,67,13
