NPA,m28_2018,r28_2018,m28_2017,r28_2017,m28_2016,r28_2016,m45_2018,r45_2018,m45_2017,r45_2017,m45_2016,r45_2016,m45_2015,r45_2015,m45_2014,r45_2014,m45_2011,r45_2011,m46_2018,r46_2018,m46_2017,r46_2017,m46_2016,r46_2016,m46_2015,r46_2015,m46_2013,r46_2013,m46_2011,r46_2011,m74_2018,r74_2018,m74_2017,r74_2017,m74_2016,r74_2016,m74_2015,r74_2015,m74_2013,r74_2013,m54_2016,m54_2014,m54_2012,m54_2010,m55_2016,m55_2014,m55_2012,m56_2016,m56_2014,m56_2012,m57_2016,m57_2014,m57_2012,m57_2010,m81_2017,m81_2015,m81_2014
NPA,Low_Cost_Healthcare_Proximity_2018,Low_Cost_Healthcare_Proximate_Units_2018,Low_Cost_Healthcare_Proximity_2017,Low_Cost_Healthcare_Proximate_Units_2017,Low_Cost_Healthcare_Proximity_2016,Low_Cost_Healthcare_Proximate_Units_2016,Grocery_Proximity_2018,Grocery_Proximate_Units_2018,Grocery_Proximity_2017,Grocery_Proximate_Units_2017,Grocery_Proximity_2016,Grocery_Proximate_Units_2016,Grocery_Proximity_2015,Grocery_Proximate_Units_2015,Grocery_Proximity_2014,Grocery_Proximate_Units_2014,Grocery_Proximity_2011,Grocery_Proximate_Units_2011,Pharmacy_Proximity_2018,Pharmacy_Proximate_Units_2018,Pharmacy_Proximity_2017,Pharmacy_Proximate_Units_2017,Pharmacy_Proximity_2016,Pharmacy_Proximate_Units_2016,Pharmacy_Proximity_2015,Pharmacy_Proximate_Units_2015,Pharmacy_Proximity_2013,Pharmacy_Proximate_Units_2013,Pharmacy_Proximity_2011,Pharmacy_Proximate_Units_2011,Park_Proximity_2018,Park_Proximate_Units_2018,Park_Proximity_2017,Park_Proximate_Units_2017,Park_Proximity_2016,Park_Proximate_Units_2016,Park_Proximity_2015,Park_Proximate_Units_2015,Park_Proximity_2013,Park_Proximate_Units_2013,Births_to_Adolescents_2016,Births_to_Adolescents_2014,Births_to_Adolescents_2012,Births_to_Adolescents_2010,Low_Birthweight_2016,Low_Birthweight_2014,Low_Birthweight_2012,Prenatal_Care_2016,Prenatal_Care_2014,Prenatal_Care_2012,Age_of_Death_2016,Age_of_Death_2014,Age_of_Death_2012,Age_of_Death_2010,Public_Health_Insurance _2017,Public_Health_Insurance _2015,Public_Health_Insurance _2014
2,19,205,21,231,21,230,32,349,32,353,19,205,19,205,19,204,21,223,40,431,1,9,2,18,19,206,20,219,20,218,53,576,53,574,53,576,53,575,53,575,6.7,1.4,0,6.2,10,21.6,9.2,60,75.7,84.6,70,68,70,62,15,18,13
3,50,2936,75,3976,85,4011,78,4611,78,3349,66,3113,66,3118,54,2565,57,2540,94,5598,92,4848,91,4320,91,4330,95,4513,95,4245,91,5373,90,4741,96,4524,96,4547,94,4467,3,3.5,4.4,3.8,6.9,8.7,7.2,80.2,83,92.3,70,70,70,74,6,4,8
4,2,7,3,11,23,93,16,67,16,52,13,52,13,52,13,52,21,85,20,82,0,0,15,60,14,58,15,60,15,60,1,6,1,6,1,6,1,6,1,6,0,7.1,0,0,5.9,14.3,0,70.6,85.7,100,76,80,80,84,1,1,1
5,44,140,40,128,29,93,8,24,8,31,13,43,14,45,14,45,35,116,51,163,49,159,52,170,52,172,52,170,9,31,97,310,97,311,93,302,93,307,93,306,12.5,13,3.8,13.3,16.7,17.4,3.8,50,52.2,69.2,65,65,55,55,43,53,38
6,63,507,65,525,65,528,51,411,51,544,67,548,67,547,67,550,81,671,85,684,83,679,86,701,86,701,91,749,87,714,67,542,65,527,65,534,65,533,65,536,5.3,8.9,10.3,13.5,7,25,10.3,49.1,55.4,62.1,66,60,65,70,38,48,35
7,27,115,27,117,40,171,42,183,42,202,47,200,47,199,47,198,43,180,32,138,37,159,37,157,37,156,37,155,37,155,85,367,85,367,85,362,85,360,84,357,0,0,0,0,18.2,0,10,63.6,91.7,100,79,81,75,,,,
8,27,287,29,298,29,298,14,151,14,135,13,135,13,135,12,127,12,108,31,335,0,5,32,327,32,331,32,331,24,217,85,916,67,694,68,701,67,695,68,697,0,0,0,0,5,4.7,4.7,80,90.7,93,84,85,80,82,13,9,20
9,100,304,99,291,99,301,93,282,93,249,81,246,80,243,81,246,98,299,100,304,100,294,100,304,100,301,100,304,100,304,100,304,100,294,100,305,100,302,100,305,0,0,5.3,3.1,5.6,17.4,10.5,77.8,87,84.2,62,74,80,,11,10,7
10,59,945,62,984,62,986,65,1036,65,1245,78,1246,78,1245,78,1245,69,1096,85,1364,86,1358,86,1365,80,1269,80,1270,80,1273,99,1581,100,1579,100,1585,100,1585,100,1588,1.8,3.6,10.6,4.2,12.4,14.4,14.4,60.2,71.2,73.1,69,67,71,67,29,29,29
