NPA,m5_2019,r5_2019,m5_2018,r5_2018,m5_2017,r5_2017,m5_2016,r5_2016,m5_2015,r5_2015,m5_2013,r5_2013,m5_2011,r5_2011,m30_2019,r30_2019,m30_2018,r30_2018,m30_2017,r30_2017,m30_2016,r30_2016,m30_2015,r30_2015,m30_2013,r30_2013,m30_2011,r30_2011,m6_2019,m6_2018,m6_2017,m6_2016,m6_2015,m6_2013,m6_2011,m7_2019,m7_2018,m7_2017,m7_2016,m7_2015,m7_2013,m7_2011,m53_2018,r53_2018,m53_2017,r53_2017,m53_2016,r53_2016,m53_2015,r53_2015,m53_2013,r53_2013,m8_2018,r8_2018,m8_2017,r8_2017,m8_2016,r8_2016,m8_2015,r8_2015,m8_2014,r8_2014,m8_2013,r8_2013,m8_2012,r8_2012,m8_2011,r8_2011,m9_2018,r9_2018,m9_2017,r9_2017,m9_2016,r9_2016,m9_2015,r9_2015,m9_2014,r9_2014,m9_2013,r9_2013,m9_2012,r9_2012,m9_2011,r9_2011,m83_2018,r83_2018,m83_2017,r83_2017,m83_2016,r83_2016,m83_2015,r83_2015,m83_2013,r83_2013,m83_2011,r83_2011,m69_2017,r69_2017,m69_2016,r69_2016,m69_2015,r69_2015,m69_2013,r69_2013,m69_2011,r69_2011,m76_2015,m76_2013,m68_2018,r68_2018,m68_2016,r68_2016,m68_2015,r68_2015,m68_2013,r68_2013,m68_2011,r68_2011,m82_2017,r82_2017,m82_2013,r82_2013,m29_2018,m29_moe_2018,m29_2017,m29_moe_2017,m31_2018,m31_moe_2018,m31_2017,m31_moe_2017,m40_2018,m40_moe_2018,m40_2017,m40_moe_2017
NPA,Housing_Density_2019,Housing_Units_2019,Housing_Density_2018,Housing_Units_2018,Housing_Density_2017,Housing_Units_2017,Housing_Density_2016,Housing_Units_2016,Housing_Density_2015,Housing_Units_2015,Housing_Density_2013,Housing_Units_2013,Housing_Density_2011,Housing_Units_2011,Single_Family_Housing_2019,Single_Family_Units_2019,Single_Family_Housing_2018,Single_Family_Units_2018,Single_Family_Housing_2017,Single_Family_Units_2017,Single_Family_Housing_2016,Single_Family_Units_2016,Single_Family_Housing_2015,Single_Family_Units_2015,Single_Family_Housing_2013,Single_Family_Units_2013,Single_Family_Housing_2011,Single_Family_Units_2011,Housing_Size_2019,Housing_Size_2018,Housing_Size_2017,Housing_Size_2016,Housing_Size_2015,Housing_Size_2013,Housing_Size_2011,Housing_Age_2019,Housing_Age_2018,Housing_Age_2017,Housing_Age_2016,Housing_Age_2015,Housing_Age_2013,Housing_Age_2011,Rental_Houses_2018,Rental_Houses_Units_2018,Rental_Houses_2017,Rental_Houses_Units_2017,Rental_Houses_2016,Rental_Houses_Units_2016,Rental_Houses_2015,Rental_Houses_Units_2015,Rental_Houses_2013,Rental_Houses_Units_2013,New_Residential_2018,New_Residential_Permit_Units_2018,New_Residential_2017,New_Residential_Permit_Units_2017,New_Residential_2016,New_Residential_Permit_Units_2016,New_Residential_2015,New_Residential_Permit_Units_2015,New_Residential_2014,New_Residential_Permit_Units_2014,New_Residential_2013,New_Residential_Permit_Units_2013,New_Residential_2012,New_Residential_Permit_Units_2012,New_Residential_2011,New_Residential_Permit_Units_2011,Residential_Renovation_2018,Residential_Renovation_Permit_Units_2018,Residential_Renovation_2017,Residential_Renovation_Permit_Units_2017,Residential_Renovation_2016,Residential_Renovation_Permit_Units_2016,Residential_Renovation_2015,Residential_Renovation_Permit_Units_2015,Residential_Renovation_2014,Residential_Renovation_Permit_Units_2014,Residential_Renovation_2013,Residential_Renovation_Permit_Units_2013,Residential_Renovation_2012,Residential_Renovation_Permit_Units_2012,Residential_Renovation_2011,Residential_Renovation_Permit_Units_2011,Residential_Demolitions_2018,Residential_Demolition_Permit_Units_2018,Residential_Demolitions_2017,Residential_Demolition_Permit_Units_2017,Residential_Demolitions_2016,Residential_Demolition_Permit_Units_2016,Residential_Demolitions_2015,Residential_Demolition_Permit_Units_2015,Residential_Demolitions_2013,Residential_Demolition_Permit_Units_2013,Residential_Demolitions_2011,Residential_Demolition_Permit_Units_2011,Foreclosures_2017,Foreclosed_Units_2017,Foreclosures_2016,Foreclosed_Units_2016,Foreclosures_2015,Foreclosed_Units_2015,Foreclosures_2013,Foreclosed_Units_2013,Foreclosures_2011,Foreclosed_Units_2011,Home_Sales_Price_2015,Home_Sales_Price_2013,Housing_Violations_2018,Housing_Violations_Total_2018,Housing_Violations_2016,Housing_Violations_Total_2016,Housing_Violations_2015,Housing_Violations_Total_2015,Housing_Violations_2013,Housing_Violations_Total_2013,Housing_Violations_2011,Housing_Violations_Total_2011,Subsidized_Housing_2017,Subsidized_Housing_Units_2017,Subsidized_Housing_2013,Subsidized_Housing_Units_2013,Home_Ownership_2018,Home_Ownership_moe_2018,Home_Ownership_2017,Home_Ownership_moe_2017,Residential_Occupancy_2018,Residential_Occupancy_moe_2018,Residential_Occupancy_2017,Residential_Occupancy_moe_2017,Rental_Costs_2018,Rental_Costs_moe_2018,Rental_Costs_2017,Rental_Costs_moe_2017
2,2.62,1077,2.6,1083,2.6,1079,2.6,1079,2.6,1079,2.6,1081,2.6,1083,46.8,504,47,509,47,504,47,505,47,505,47,507,47,509,1587,1524,1501,1491,1473,1449,1446,70,70,70,69,68,66,64,26,130,27,138,29,145,25,126,26,134,0.97,4,1.22,5,0.97,4,0.24,1,0.49,2,0,0,0,0,0,0,4.63,19,5.6,23,7.06,29,7.3,30,4.62,19,3.89,16,2.67,11,2.67,11,11.79,6,1.98,1,3.96,2,1.98,1,0,0,0,0,0.2,1,0.3,2,1.1,7,0.9,6,1.1,7,217562,180860,0.09,1,1.11,12,0.93,10,1.2,13,0.65,7,7,80,7,80,32,0,33,6,90,5,93,5,977,,894,
3,7.08,8183,5.1,5931,4.6,5283,4.1,4730,4.1,4752,4.1,4746,3.8,4369,20.9,1710,30,1759,33,1723,38,1792,38,1792,38,1796,42,1822,2415,2267,2261,2177,2145,2088,2033,69,69,70,69,69,69,68,20,343,22,373,23,413,19,344,25,450,69.3,801,16.09,186,36.51,422,33.3,385,64.79,749,3.37,39,16,185,1.73,20,10.81,125,8.91,103,12.37,143,10.73,124,10.21,118,9.78,113,7.61,88,6.66,77,44.34,78,14.51,25,15.63,28,13.39,24,8.35,15,1.65,3,0,0,0.2,6,0.1,4,0.5,17,0.7,24,467716,391928,0.27,16,0.34,16,0.17,8,0.42,20,1.26,55,8,421,10,472,39,0,50,4,86,2,88,2,1360,,1286,
4,1.25,410,1.3,419,1.2,408,1.2,406,1.2,404,1.2,402,1.2,401,89.27,366,90,375,89,364,89,362,89,360,89,358,89,357,4010,3814,3820,3768,3728,3722,3660,43,44,44,44,44,42,40,10,39,10,35,9,34,9,34,10,34,0.91,3,1.21,4,1.21,4,1.82,6,1.52,5,0.3,1,0,0,1.22,4,6.07,20,9.42,31,13.06,43,6.99,23,7.29,24,5.77,19,4.56,15,8.2,27,18.67,7,8.24,3,13.81,5,5.56,2,2.79,1,5.6,2,0,0,0,0,0.2,1,0,0,0.3,1,810017,845392,0,0,0,0,0,0,0,0,0.25,1,0,0,0,0,94,2,97,2,97,2,98,4,-,**,,
5,2.06,345,1.9,318,1.9,322,2,326,2,331,2,329,2,332,52.75,182,58,183,58,187,59,191,59,196,59,194,59,197,1059,1056,1057,1056,1053,1061,1041,60,59,58,57,56,56,55,66,121,70,131,71,135,62,122,66,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,1,2.39,4,0,0,0.6,1,2.39,4,1.79,3,0.6,1,2.39,4,1.2,2,0,0,10.7,2,31.41,6,25.51,5,0,0,0,0,0,0,1.1,2,2.2,4,0.6,1,6,11,,45200,3.46,11,12.58,41,19.94,66,9.42,31,7.83,26,0,0,0,0,16,1,11,7,88,13,90,9,678,33,631,25
6,1.98,798,2,808,2,813,2,816,2,817,2,820,2.1,825,83.21,664,83,674,84,679,84,682,84,683,84,686,84,691,1112,1084,1081,1078,1081,1079,1073,70,70,69,68,67,65,63,65,441,65,443,65,446,56,385,62,423,0,0,1.24,5,0.25,1,0,0,0,0,0,0,0,0,0,0,1.49,6,3.72,15,4.22,17,4.46,18,4.71,19,2.73,11,2.23,9,1.49,6,1.48,1,5.89,4,4.4,3,2.93,2,4.37,3,2.89,2,0,0,1.2,7,1,6,1.5,9,1.2,7,41056,55545,2.1,17,6.62,54,6.61,54,6.59,54,4.24,35,0,0,0,0,24,1,26,9,76,8,80,8,923,,834,
7,0.78,428,0.8,432,0.8,430,0.8,427,0.8,426,0.8,423,0.8,420,100,428,100,432,100,430,100,427,100,426,100,423,100,420,5366,5197,5215,5211,5157,5157,5105,37,37,36,36,36,34,33,5,22,6,26,6,25,6,26,6,27,1.1,6,0.73,4,0.73,4,0.36,2,0.73,4,0.36,2,0.36,2,0.73,4,6.75,37,5.66,31,6.57,36,5.84,32,8.94,49,6.02,33,7.12,39,3.47,19,18.52,8,2.33,1,9.37,4,4.69,2,2.36,1,4.76,2,0,0,0,0,0,0,0.2,1,0,0,1656526,1509529,0.23,1,0,0,0,0,0,0,0,0,0,0,0,0,92,1,100,0,92,9,89,3,-,**,,
8,1.86,1110,1.8,1080,1.7,1029,1.7,1036,1.7,1030,1.7,1024,1.5,901,39.64,440,40,437,42,434,43,441,42,435,43,437,48,429,1965,1917,1910,1901,1873,1870,1838,54,54,53,52,52,50,49,16,69,16,71,18,78,17,76,19,84,0,0,5.36,32,0,0,0.5,3,1.01,6,0.5,3,0.84,5,0.84,5,3.35,20,3.69,22,2.85,17,2.01,12,2.35,14,7.21,43,1.51,9,1.34,8,0,0,4.61,2,9.07,4,0,0,0,0,0,0,0,0,0.1,1,0,0,0.4,3,0.4,3,233714,229197,0.09,1,0,0,0.19,2,0.1,1,0.11,1,0,0,16,163,56,1,59,12,100,0,100,0,1326,212,1257,264
9,3.3,309,3.3,304,3.1,294,3.2,305,3.2,302,3.3,305,3.3,305,89,275,89,272,94,276,90,273,89,270,90,273,90,273,1723,1532,1417,1341,1254,1213,1198,53,58,61,62,64,63,61,27,73,32,88,35,96,35,95,40,108,11.76,11,13.89,13,12.83,12,11.7,11,8.51,8,2.13,2,2.13,2,0,0,19.24,18,13.89,13,16.03,15,16.03,15,17.1,16,7.48,7,8.55,8,6.41,6,29.41,8,25.36,7,14.65,4,7.41,2,0,0,0,0,0,0,1.1,3,1.2,3,0.4,1,1.2,3,260211,245591,0,0,0.66,2,0.66,2,0.98,3,1.31,4,0,0,0,0,51,1,51,16,85,15,84,14,1579,758,1203,620
10,3.07,1694,2.9,1597,2.9,1586,2.9,1592,2.9,1592,2.9,1595,2.9,1599,70.6,1196,75,1199,75,1188,75,1194,75,1194,75,1196,75,1201,1179,1119,1100,1085,1077,1068,1068,63,64,63,63,62,60,58,46,550,49,577,48,570,41,484,50,601,1.63,9,2.36,13,1.81,10,0.54,3,1.45,8,0,0,0,0,0.18,1,6.71,37,11.61,64,10.52,58,9.61,53,6.89,38,5.8,32,4.54,25,2.72,15,10.01,12,5.05,6,6.7,8,0,0,2.51,3,0,0,0,0,0.4,4,0.6,6,0.8,9,1.4,15,141766,107523,1.82,29,2.95,47,3.64,58,5.2,83,3.38,54,0,0,0,0,37,0,38,7,87,7,89,4,755,,761,
