Short _Name,Long_Name,Short_Description,Long_Description,Data_Source,,,,,,,,,,,,,,,,,,,,,
Character,,,,,,,,,,,,,,,,,,,,,,,,,
r1_2015,Area,Land Area (Acres),Land area is calculated by the U.S. Census Bureau for census block groups and aggregated to Neighborhood Profile Areas (NPAs). NPAs are comprised of between one and eight Census block groups.,"U.S. Census Bureau TIGER, 2015",,,,,,,,,,,,,,,,,,,,,
r1_2013,Area,Land Area (Acres),Land area is calculated by the U.S. Census Bureau for census block groups and aggregated to Neighborhood Profile Areas (NPAs). NPAs are comprised of between one and eight Census block groups.,"U.S. Census Bureau TIGER, 2010",,,,,,,,,,,,,,,,,,,,,
m47_2018,Population_Density_2018,Number of people per acre,Total population estimate divided by land area,Mecklenburg County Tax Parcels 2018 (housing units); U.S. Census Bureau 2010 Census (average household size and group quarters); U.S. Postal Service (Vacancy Rate); area colleges and universities; U.S. Census Bureau TIGER 2010,,,,,,,,,,,,,,,,,,,,,
r47_2018,Population _2018,Total Population Estimate,Total population estimate: Number of Housing Units x Occupancy Rate x Average Household Size + Population in Group Quarters.,Mecklenburg County Tax Parcels 2018 (housing units); U.S. Census Bureau 2010 Census (average household size and group quarters); U.S. Postal Service (Vacancy Rate); area colleges and universities,,,,,,,,,,,,,,,,,,,,,
m47_2017,Population_Density_2017,Number of people per acre,Total population estimate divided by land area,Mecklenburg County Tax Parcels 2017 (housing units); U.S. Census Bureau 2010 Census (average household size and group quarters); U.S. Postal Service (Vacancy Rate); area colleges and universities; U.S. Census Bureau TIGER 2010,,,,,,,,,,,,,,,,,,,,,
r47_2017,Population _2017,Total Population Estimate,Total population estimate: Number of Housing Units x Occupancy Rate x Average Household Size + Population in Group Quarters.,Mecklenburg County Tax Parcels 2017 (housing units); U.S. Census Bureau 2010 Census (average household size and group quarters); U.S. Postal Service (Vacancy Rate); area colleges and universities,,,,,,,,,,,,,,,,,,,,,
m47_2016,Population_Density_2016,Number of people per acre,Total population estimate divided by land area,Mecklenburg County Tax Parcels 2016 (housing units); U.S. Census Bureau 2010 Census (average household size and group quarters); U.S. Postal Service (Vacancy Rate); area colleges and universities; U.S. Census Bureau TIGER 2010,,,,,,,,,,,,,,,,,,,,,
r47_2016,Population _2016,Total Population Estimate,Total population estimate: Number of Housing Units x Occupancy Rate x Average Household Size + Population in Group Quarters.,Mecklenburg County Tax Parcels 2016 (housing units); U.S. Census Bureau 2010 Census (average household size and group quarters); U.S. Postal Service (Vacancy Rate); area colleges and universities,,,,,,,,,,,,,,,,,,,,,
m47_2015,Population_Density_2015,Number of people per acre,Total population estimate divided by land area,Mecklenburg County Tax Parcels 2015 (housing units); U.S. Census Bureau 2010 Census (average household size and group quarters); U.S. Postal Service (Vacancy Rate); area colleges and universities; U.S. Census Bureau TIGER 2010,,,,,,,,,,,,,,,,,,,,,
r47_2015,Population _2015,Total Population Estimate,Total population estimate: Number of Housing Units x Occupancy Rate x Average Household Size + Population in Group Quarters.,Mecklenburg County Tax Parcels 2015 (housing units); U.S. Census Bureau 2010 Census (average household size and group quarters); U.S. Postal Service (Vacancy Rate); area colleges and universities,,,,,,,,,,,,,,,,,,,,,
m47_2013,Population_Density_2013,Number of people per acre,Total population estimate divided by land area,Mecklenburg County Tax Parcels 2012 (housing units); U.S. Census Bureau 2010 Census (average household size and group quarters); U.S. Postal Service (Vacancy Rate); area colleges and universities; U.S. Census Bureau TIGER 2010,,,,,,,,,,,,,,,,,,,,,
r47_2013,Population _2013,Total Population Estimate,Total population estimate: Number of Housing Units x Occupancy Rate x Average Household Size + Population in Group Quarters.,Mecklenburg County Tax Parcels 2012 (housing units); U.S. Census Bureau 2010 Census (average household size and group quarters); U.S. Postal Service (Vacancy Rate); area colleges and universities,,,,,,,,,,,,,,,,,,,,,
m47_2010,Population_Density_2010,Number of people per acre,Total population divided by land area,"U.S. Census Bureau 2010 Census; Mecklenburg CountyTax Parcels, 2011",,,,,,,,,,,,,,,,,,,,,
r47_2010,Population_2010,Total Population,Total population,U.S. Census Bureau 2010 Census,,,,,,,,,,,,,,,,,,,,,
m47_2000,Population_Density_2000,Number of people per acre,Total population divided by land area,"U.S. Census Bureau 2000 Census; Mecklenburg CountyTax Parcels, 2011",,,,,,,,,,,,,,,,,,,,,
r47_2000,Population_2000,Total Population,Total population,U.S. Census Bureau 2000 Census,,,,,,,,,,,,,,,,,,,,,
m2_2018,Age_of_Residents_2018,Median age of residents (Years),"Median age of residents as estimated in the American Community Survey. When a Neighborhood Profile Area is comprised of more than one block group, the median age is calculated by linear interpolation from a range of ages published in the American Community Survey. ","U.S. Census Bureau American Community Survey, 2014-2018 5-Year Estmates",,,,,,,,,,,,,,,,,,,,,
m2_moe_2018,Age_of_Residents_moe_2018,Margin of Error (Years),"The U.S. Census Bureau calculates standard errors for each estimate produced and publishes the margin of error above and below the estimate at a 90 percent confidence level (the Census Bureau standard). There is a 90 percent chance that the true value falls within this range: the etstimate plus or minus the margin of error. The margin of error is not calculated for NPA's that are comprised of more than one block group. When combining NPA's, this variable should be used with caution. ","U.S. Census Bureau American Community Survey, 2014-2018 5-Year Estmates",,,,,,,,,,,,,,,,,,,,,
m2_2017,Age_of_Residents_2017,Median age of residents (Years),"Median age of residents as estimated in the American Community Survey. When a Neighborhood Profile Area is comprised of more than one block group, the median age is calculated by linear interpolation from a range of ages published in the American Community Survey. ","U.S. Census Bureau American Community Survey, 2013-2017 5-Year Estmates",,,,,,,,,,,,,,,,,,,,,
m2_moe_2017,Age_of_Residents_moe_2017,Margin of Error (Years),"The U.S. Census Bureau calculates standard errors for each estimate produced and publishes the margin of error above and below the estimate at a 90 percent confidence level (the Census Bureau standard). There is a 90 percent chance that the true value falls within this range: the etstimate plus or minus the margin of error. The margin of error is not calculated for NPA's that are comprised of more than one block group. When combining NPA's, this variable should be used with caution. ","U.S. Census Bureau American Community Survey, 2013-2017 5-Year Estmates",,,,,,,,,,,,,,,,,,,,,
m12_2018,Youth_Population_2018,Percentage of the population under the age of 18,Population under age 18 divided by total population,"U.S. Census Bureau American Community Survey, 2014-2018 5-Year Estmates",,,,,,,,,,,,,,,,,,,,,
m12_moe_2018,Youth_Population_moe_2018,Margin of Error (Percent),The U.S. Census Bureau calculates standard errors for each estimate produced and publishes the margin of error above and below the estimate at a 90 percent confidence level (the Census Bureau standard). There is a 90 percent chance that the true value falls within this range: the etstimate plus or minus the margin of error.,"U.S. Census Bureau American Community Survey, 2014-2018 5-Year Estmates",,,,,,,,,,,,,,,,,,,,,
m12_2017,Youth_Population_2017,Percentage of the population under the age of 18,Population under age 18 divided by total population,"U.S. Census Bureau American Community Survey, 2013-2017 5-Year Estmates",,,,,,,,,,,,,,,,,,,,,
m12_moe_2017,Youth_Population_moe_2017,Margin of Error (Percent),The U.S. Census Bureau calculates standard errors for each estimate produced and publishes the margin of error above and below the estimate at a 90 percent confidence level (the Census Bureau standard). There is a 90 percent chance that the true value falls within this range: the etstimate plus or minus the margin of error.,"U.S. Census Bureau American Community Survey, 2013-2017 5-Year Estmates",,,,,,,,,,,,,,,,,,,,,
m13_2018,Older_Adult_Population_2018,Percentage of the population age 65 and over,Population age 65 and over divided by total population,"U.S. Census Bureau American Community Survey, 2014-2018 5-Year Estmates",,,,,,,,,,,,,,,,,,,,,
m13_moe_2018,Older_Adult_Population_moe_2018,Margin of Error (Percent),The U.S. Census Bureau calculates standard errors for each estimate produced and publishes the margin of error above and below the estimate at a 90 percent confidence level (the Census Bureau standard). There is a 90 percent chance that the true value falls within this range: the etstimate plus or minus the margin of error.,"U.S. Census Bureau American Community Survey, 2014-2018 5-Year Estmates",,,,,,,,,,,,,,,,,,,,,
m13_2017,Older_Adult_Population_2017,Percentage of the population age 65 and over,Population age 65 and over divided by total population,"U.S. Census Bureau American Community Survey, 2013-2017 5-Year Estmates",,,,,,,,,,,,,,,,,,,,,
m13_moe_2017,Older_Adult_Population_moe_2017,Margin of Error (Percent),The U.S. Census Bureau calculates standard errors for each estimate produced and publishes the margin of error above and below the estimate at a 90 percent confidence level (the Census Bureau standard). There is a 90 percent chance that the true value falls within this range: the etstimate plus or minus the margin of error.,"U.S. Census Bureau American Community Survey, 2013-2017 5-Year Estmates",,,,,,,,,,,,,,,,,,,,,
m14_2018,White_Population_2018,Percentage of population that is White or Caucasian,Population self-identified as non-Hispanic White or Caucasian alone divided by total population.,"U.S. Census Bureau American Community Survey, 2014-2018 5-Year Estmates",,,,,,,,,,,,,,,,,,,,,
