NPA,m33_2018,m33_moe_2018,m33_2017,m33_moe_2017,m34_2018,m34_2017,m34_2016,m34_2015,m34_2013,m34_2011,m35_2018,m35_2017,m35_2016,m35_2015,m35_2013,m35_2011,m70_2015,r70_2015,m36_2018,r36_2018,m36_2017,r36_2017,m36_2016,r36_2016,m36_2015,r36_2015,m36_2013,r36_2013,m36_2011,r36_2011,m44_2015,r44_2015,m44_2014,r44_2014,m44_2013,r44_2013
NPA,Long_Commute_2018,Long_Commute_moe_2018,Long_Commute_2017,Long_Commute_moe_2017,Bicycle_Friendliness_2018,Bicycle_Friendliness_2017,Bicycle_Friendliness_2016,Bicycle_Friendliness_2015,Bicycle_Friendliness_2013,Bicycle_Friendliness_2011,Street_Connectivity_2018,Street_Connectivity_2017,Street_Connectivity_2016,Street_Connectivity_2015,Street_Connectivity_2013,Street_Connectivity_2011,Sidewalk_Availability_2015,Sidewalk_Miles_2015,Transit_Proximity_2018,Transit_Proximate_Units_2018,Transit_Proximity_2017,Transit_Proximate_Units_2017,Transit_Proximity_2016,Transit_Proximate_Units_2016,Transit_Proximity_2015,Transit_Proximate_Units_2015,Transit_Proximity_2013,Transit_Proximate_Units_2013,Transit_Proximity_2011,Transit_Proximate_Units_2011,Transit_Ridership_2015,Transit_Ridership_Total_2015,Transit_Ridership_2014,Transit_Ridership_Total_2014,Transit_Ridership_2013,Transit_Ridership_Total_2013
2,39,11,39,12,1.5,1.5,1.5,1.5,1.5,1.6,1.2,1.2,1.2,1.2,1.15,1.17,74.3,7.3,100,1083,100,1079,100,1079,100,1079,100,1081,100,1082,35,879,43,1068,54,1348
3,33,4,32,5,2.1,2.1,2.2,2.1,2.3,2.2,1.48,1.48,1.48,1.5,1.55,1.55,83.6,31.5,100,5931,100,5283,100,4730,100,4752,100,4746,100,4468,34,2346,35,2438,33,2697
4,58,13,57,14,1.7,1.7,1.8,1.7,1.7,1.6,1.17,1.17,1.17,1.17,1.17,1.17,32.8,2.3,86.16,361,92.65,378,92.86,377,94.31,381,100,402,100,401,8,59,9,60,5,53
5,39,22,27,18,1.6,1.6,1.6,1.6,1.7,1.5,1.16,1.16,1.16,1.16,1.19,1.19,38.6,1.8,100,318,100,322,100,326,100,331,100,329,100,332,17,66,15,60,17,67
6,46,13,49,14,1.7,1.7,1.8,1.8,1.8,1.7,1.28,1.28,1.28,1.3,1.3,1.3,41.2,5.4,100,808,100,814,100,816,100,817,100,820,100,825,74,1258,77,1312,86,1375
7,42,16,35,12,1.5,1.5,1.5,1.5,1.5,1.5,1.19,1.19,1.19,1.19,1.19,1.19,53.2,6.5,43.29,187,70.53,304,70.73,302,73.71,314,88.89,376,89.29,375,30,178,31,220,58,405
8,53,13,40,12,1.3,1.3,1.3,1.3,1.3,1.3,1.13,1.13,1.13,1.16,1.17,1.17,57.3,6.3,100,1080,100,1029,100,1036,98.54,1015,100,1024,100,901,9,209,11,242,9,193
9,45,17,37,14,1.7,1.7,1.7,1.7,1.7,1.7,1.38,1.38,1.38,1.38,1.38,1.39,45.0,1.8,100,304,100,294,100,305,100,302,100,305,100,305,25,197,29,232,31,251
10,59,7,59,8,1.7,1.7,1.7,1.6,1.6,1.6,1.36,1.36,1.35,1.35,1.35,1.35,65.0,11.0,95.62,1527,100,1586,100,1592,100,1592,100,1595,100,1599,42,1528,42,1498,42,1453
11,45,10,41,9,1.7,1.7,1.7,1.7,1.8,1.8,1.2,1.2,1.2,1.2,1.25,1.26,63.0,7.5,100,1253,100,1231,100,1225,100,1225,100,1212,100,1209,67,734,76,839,65,843
12,52,9,47,8,1.4,1.4,1.3,1.4,1.4,1.4,1.05,1.05,1.05,1.05,1.08,1.08,34.5,0.9,100,1257,100,1257,100,1257,100,1257,100,1257,100,1257,95,668,116,814,123,860
13,45,7,49,7,1.6,1.6,1.6,1.6,1.6,1.6,1.24,1.24,1.24,1.24,1.24,1.24,46.5,5.0,100,1832,100,1831,100,1830,100,1827,100,1810,100,1812,13,249,17,319,21,406
14,58,9,59,8,1.3,1.3,1.3,1.3,1.4,1.4,1.09,1.09,1.08,1.1,1.1,1.1,48.4,5.7,74.3,1197,74.24,1196,74.27,1198,74.23,1198,74.23,1198,74.33,1199,132,528,147,586,142,568
15,70,10,59,13,1.6,1.6,1.6,1.5,1.6,1.6,1.18,1.18,1.18,1.17,1.18,1.19,25.7,3.4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
16,54,5,52,6,1.4,1.4,1.5,1.5,1.4,1.4,1.18,1.19,1.2,1.2,1.2,1.2,40.3,7.3,93.13,1967,93.14,1968,97.54,2062,97.63,2062,98.48,2080,98.49,2087,33,462,36,543,38,600
17,70,8,64,9,1.4,1.4,1.4,1.4,1.4,1.4,1.18,1.18,1.18,1.18,1.19,1.18,42.9,5.5,100,1250,100,1253,100,1253,100,1256,100,1256,100,1256,62,1426,64,1473,66,1511
